Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: allocalot,Param: execName,Param: isVirtual,Param: queue,Param: singleshot,Param: stackDepth,Param: stackFrame,Param: threads
micro.Ring.trip,thrpt,1,20,0.014336,0.001881,ops/ms,false,single,true,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.897436,NaN,clks/insn,false,single,true,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.114286,NaN,insns/clk,false,single,true,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.013758,0.001559,ops/ms,false,single,true,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.918605,NaN,clks/insn,false,single,true,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.088608,NaN,insns/clk,false,single,true,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.010729,0.001401,ops/ms,false,single,true,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.843333,NaN,clks/insn,false,single,true,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.185771,NaN,insns/clk,false,single,true,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.010314,0.000259,ops/ms,false,single,true,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.830325,NaN,clks/insn,false,single,true,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.204348,NaN,insns/clk,false,single,true,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.008495,0.00086,ops/ms,false,single,true,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.731343,NaN,clks/insn,false,single,true,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.367347,NaN,insns/clk,false,single,true,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.007632,9.8E-05,ops/ms,false,single,true,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.74359,NaN,clks/insn,false,single,true,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.344828,NaN,insns/clk,false,single,true,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.005856,0.001008,ops/ms,false,single,true,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.669789,NaN,clks/insn,false,single,true,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.493007,NaN,insns/clk,false,single,true,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.005745,0.000628,ops/ms,false,single,true,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.657895,NaN,clks/insn,false,single,true,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.52,NaN,insns/clk,false,single,true,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,single,true,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.003081,6.6E-05,ops/ms,false,cached,false,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.555767,NaN,clks/insn,false,cached,false,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.64277,NaN,insns/clk,false,cached,false,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.002941,8.2E-05,ops/ms,false,cached,false,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.599038,NaN,clks/insn,false,cached,false,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.625376,NaN,insns/clk,false,cached,false,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.00282,6.6E-05,ops/ms,false,cached,false,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.636802,NaN,clks/insn,false,cached,false,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.610948,NaN,insns/clk,false,cached,false,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.002753,6.2E-05,ops/ms,false,cached,false,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.611006,NaN,clks/insn,false,cached,false,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.62073,NaN,insns/clk,false,cached,false,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.002714,4.9E-05,ops/ms,false,cached,false,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.615894,NaN,clks/insn,false,cached,false,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.618852,NaN,insns/clk,false,cached,false,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.002687,5.6E-05,ops/ms,false,cached,false,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.620983,NaN,clks/insn,false,cached,false,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.61691,NaN,insns/clk,false,cached,false,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.002556,0.000131,ops/ms,false,cached,false,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.688047,NaN,clks/insn,false,cached,false,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.592401,NaN,insns/clk,false,cached,false,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.002695,0.000116,ops/ms,false,cached,false,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.650659,NaN,clks/insn,false,cached,false,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.605819,NaN,insns/clk,false,cached,false,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.002786,3.1E-05,ops/ms,false,cached,false,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.632502,NaN,clks/insn,false,cached,false,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.612557,NaN,insns/clk,false,cached,false,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.002752,3.1E-05,ops/ms,false,cached,false,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.640884,NaN,clks/insn,false,cached,false,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.609428,NaN,insns/clk,false,cached,false,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.002739,2.8E-05,ops/ms,false,cached,false,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.633272,NaN,clks/insn,false,cached,false,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.612268,NaN,insns/clk,false,cached,false,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,false,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.006965,5.5E-05,ops/ms,false,cached,true,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.160142,NaN,clks/insn,false,cached,true,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.861963,NaN,insns/clk,false,cached,true,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.006423,0.00014,ops/ms,false,cached,true,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.151815,NaN,clks/insn,false,cached,true,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.868195,NaN,insns/clk,false,cached,true,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.006033,0.000191,ops/ms,false,cached,true,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.156352,NaN,clks/insn,false,cached,true,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.864789,NaN,insns/clk,false,cached,true,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.005802,0.000118,ops/ms,false,cached,true,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.223684,NaN,clks/insn,false,cached,true,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.817204,NaN,insns/clk,false,cached,true,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.005765,0.000124,ops/ms,false,cached,true,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.203822,NaN,clks/insn,false,cached,true,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.830688,NaN,insns/clk,false,cached,true,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.005447,9.3E-05,ops/ms,false,cached,true,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.166667,NaN,clks/insn,false,cached,true,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.857143,NaN,insns/clk,false,cached,true,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.004794,0.000496,ops/ms,false,cached,true,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.047872,NaN,clks/insn,false,cached,true,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.954315,NaN,insns/clk,false,cached,true,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.004801,0.000124,ops/ms,false,cached,true,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.067039,NaN,clks/insn,false,cached,true,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.937173,NaN,insns/clk,false,cached,true,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.00416,0.000292,ops/ms,false,cached,true,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.026596,NaN,clks/insn,false,cached,true,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.974093,NaN,insns/clk,false,cached,true,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.003932,0.000297,ops/ms,false,cached,true,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.982885,NaN,clks/insn,false,cached,true,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.017413,NaN,insns/clk,false,cached,true,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.003867,5.7E-05,ops/ms,false,cached,true,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.997455,NaN,clks/insn,false,cached,true,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.002551,NaN,insns/clk,false,cached,true,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,cached,true,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.003277,3.6E-05,ops/ms,false,fjp,false,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.574929,NaN,clks/insn,false,fjp,false,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.634949,NaN,insns/clk,false,fjp,false,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.003166,2.1E-05,ops/ms,false,fjp,false,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.58818,NaN,clks/insn,false,fjp,false,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.629652,NaN,insns/clk,false,fjp,false,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.003048,2.6E-05,ops/ms,false,fjp,false,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.586494,NaN,clks/insn,false,fjp,false,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.630321,NaN,insns/clk,false,fjp,false,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.00297,2.3E-05,ops/ms,false,fjp,false,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.616105,NaN,clks/insn,false,fjp,false,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.618772,NaN,insns/clk,false,fjp,false,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.002955,3.2E-05,ops/ms,false,fjp,false,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.618199,NaN,clks/insn,false,fjp,false,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.617971,NaN,insns/clk,false,fjp,false,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,false,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.002935,2.6E-05,ops/ms,false,fjp,false,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.63227,NaN,clks/insn,false,fjp,false,sq,false,160,1,20000
