Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: allocalot,Param: execName,Param: isVirtual,Param: queue,Param: singleshot,Param: stackDepth,Param: stackFrame,Param: threads
micro.Ring.trip,thrpt,1,20,0.008044,0.001144,ops/ms,false,fjp,true,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.181818,NaN,clks/insn,false,fjp,true,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.846154,NaN,insns/clk,false,fjp,true,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.005209,0.000158,ops/ms,false,fjp,true,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.021882,NaN,clks/insn,false,fjp,true,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.978587,NaN,insns/clk,false,fjp,true,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.006324,0.000222,ops/ms,false,fjp,true,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.089641,NaN,clks/insn,false,fjp,true,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.917733,NaN,insns/clk,false,fjp,true,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.005235,0.000121,ops/ms,false,fjp,true,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.002242,NaN,clks/insn,false,fjp,true,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.997763,NaN,insns/clk,false,fjp,true,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.00473,0.000117,ops/ms,false,fjp,true,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.950226,NaN,clks/insn,false,fjp,true,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.052381,NaN,insns/clk,false,fjp,true,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.003288,3.6E-05,ops/ms,false,default,false,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.574528,NaN,clks/insn,false,default,false,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.635111,NaN,insns/clk,false,default,false,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.003171,4.3E-05,ops/ms,false,default,false,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.585366,NaN,clks/insn,false,default,false,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.630769,NaN,insns/clk,false,default,false,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.003067,4.9E-05,ops/ms,false,default,false,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.595349,NaN,clks/insn,false,default,false,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.626822,NaN,insns/clk,false,default,false,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.002972,2.7E-05,ops/ms,false,default,false,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.615169,NaN,clks/insn,false,default,false,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.61913,NaN,insns/clk,false,default,false,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.002953,2.9E-05,ops/ms,false,default,false,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.620657,NaN,clks/insn,false,default,false,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.617034,NaN,insns/clk,false,default,false,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.002903,2.5E-05,ops/ms,false,default,false,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.633114,NaN,clks/insn,false,default,false,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.612327,NaN,insns/clk,false,default,false,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.002899,3.2E-05,ops/ms,false,default,false,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.632519,NaN,clks/insn,false,default,false,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.61255,NaN,insns/clk,false,default,false,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.002837,1.8E-05,ops/ms,false,default,false,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.624186,NaN,clks/insn,false,default,false,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.615693,NaN,insns/clk,false,default,false,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.002782,2.5E-05,ops/ms,false,default,false,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.62963,NaN,clks/insn,false,default,false,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.613636,NaN,insns/clk,false,default,false,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.002745,3E-05,ops/ms,false,default,false,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.63511,NaN,clks/insn,false,default,false,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.61158,NaN,insns/clk,false,default,false,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.00275,2.6E-05,ops/ms,false,default,false,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.627971,NaN,clks/insn,false,default,false,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.614262,NaN,insns/clk,false,default,false,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,false,sq,false,256,1,20000
micro.Ring.trip,thrpt,1,20,0.034344,0.002943,ops/ms,false,default,true,sq,false,1,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.522694,NaN,clks/insn,false,default,true,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.656731,NaN,insns/clk,false,default,true,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.022776,0.000479,ops/ms,false,default,true,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.562112,NaN,clks/insn,false,default,true,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.640159,NaN,insns/clk,false,default,true,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.018251,0.000331,ops/ms,false,default,true,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.545024,NaN,clks/insn,false,default,true,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.647239,NaN,insns/clk,false,default,true,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.013977,0.000371,ops/ms,false,default,true,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.505922,NaN,clks/insn,false,default,true,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.664045,NaN,insns/clk,false,default,true,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.013565,0.000271,ops/ms,false,default,true,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.52513,NaN,clks/insn,false,default,true,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.655682,NaN,insns/clk,false,default,true,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.010268,0.001245,ops/ms,false,default,true,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.283333,NaN,clks/insn,false,default,true,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.779221,NaN,insns/clk,false,default,true,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,160,1,20000
micro.Ring.trip,thrpt,1,20,0.008197,0.001377,ops/ms,false,default,true,sq,false,180,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.190476,NaN,clks/insn,false,default,true,sq,false,180,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.84,NaN,insns/clk,false,default,true,sq,false,180,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,180,1,20000
micro.Ring.trip,thrpt,1,20,0.007291,0.000282,ops/ms,false,default,true,sq,false,200,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.18,NaN,clks/insn,false,default,true,sq,false,200,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.847458,NaN,insns/clk,false,default,true,sq,false,200,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,200,1,20000
micro.Ring.trip,thrpt,1,20,0.00611,0.000139,ops/ms,false,default,true,sq,false,220,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.103529,NaN,clks/insn,false,default,true,sq,false,220,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.906183,NaN,insns/clk,false,default,true,sq,false,220,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,220,1,20000
micro.Ring.trip,thrpt,1,20,0.004932,0.000395,ops/ms,false,default,true,sq,false,240,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.947103,NaN,clks/insn,false,default,true,sq,false,240,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.055851,NaN,insns/clk,false,default,true,sq,false,240,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,240,1,20000
micro.Ring.trip,thrpt,1,20,0.004531,0.00024,ops/ms,false,default,true,sq,false,256,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,0.901015,NaN,clks/insn,false,default,true,sq,false,256,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,1.109859,NaN,insns/clk,false,default,true,sq,false,256,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,default,true,sq,false,256,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5665204.5,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.023,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,494525.5,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,267.1169324375,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,225.28236,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,98.63193799999999,NaN,"""---""",false,single,false,sq,false,1,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5554448.0,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.0225,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,486391.5,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,266.36643028649996,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,226.524101,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,97.568637,NaN,"""---""",false,single,false,sq,false,32,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5384350.0,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.0215,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,512678.5,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,266.5809288845,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,228.7011955,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,97.45406349999999,NaN,"""---""",false,single,false,sq,false,64,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5353034.5,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.021,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,489647.5,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,268.79855272,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,234.2925065,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,97.9039965,NaN,"""---""",false,single,false,sq,false,128,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5378933.0,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.021,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,480136.0,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,267.64269553450004,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,234.1822585,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,97.2910755,NaN,"""---""",false,single,false,sq,false,140,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5384557.5,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.021,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,470444.0,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,266.3522332745,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,233.656105,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,96.580588,NaN,"""---""",false,single,false,sq,false,160,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5397138.0,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.021,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,470846.5,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,268.42338583649996,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,236.40151250000002,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,97.4291155,NaN,"""---""",false,single,false,sq,false,180,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5178466.5,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.0205,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,479952.0,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,269.170846586,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,238.4340605,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,96.6522085,NaN,"""---""",false,single,false,sq,false,200,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5151219.5,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.02,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,491797.0,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,270.686256849,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,240.9451545,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,96.370154,NaN,"""---""",false,single,false,sq,false,220,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5086751.0,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.019,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,535001.5,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,274.037541927,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,244.6030685,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,98.69040849999999,NaN,"""---""",false,single,false,sq,false,240,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,5062607.0,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.019,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,585442.0,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.002,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,274.96856689599997,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,245.09490449999998,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,99.0439375,NaN,"""---""",false,single,false,sq,false,256,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,8703.5,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.268,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,276.0,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.0085,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,60.9009776825,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,70.55456000000001,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,0.610629,NaN,"""---""",false,single,true,sq,false,1,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,8053.5,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.2405,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,260.5,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.008,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,61.2279459055,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,70.7685845,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,0.729503,NaN,"""---""",false,single,true,sq,false,32,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,7884.0,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.23650000000000002,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,292.5,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.009,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,61.715838800499995,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,70.3444635,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,0.9357305,NaN,"""---""",false,single,true,sq,false,64,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,9083.0,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.256,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,297.0,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.0085,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,62.263641745499996,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,71.43869000000001,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,1.1117425,NaN,"""---""",false,single,true,sq,false,128,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,9228.0,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.267,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,364.0,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.011,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,62.343418596999996,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,70.919959,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,1.0998955,NaN,"""---""",false,single,true,sq,false,140,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,7842.5,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.20750000000000002,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,464.5,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.0125,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,63.337480037000006,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:user-time""","""thrpt""",1,1,79.157273,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:sys-time""","""thrpt""",1,1,1.39352,NaN,"""---""",false,single,true,sq,false,160,1,20000
"""micro.Ring.trip:context-switches-raw""","""thrpt""",1,1,4334.0,NaN,"""---""",false,single,true,sq,false,180,1,20000
"""micro.Ring.trip:context-switches-rate""","""thrpt""",1,1,0.1305,NaN,"""---""",false,single,true,sq,false,180,1,20000
"""micro.Ring.trip:cpu-migrations-raw""","""thrpt""",1,1,197.5,NaN,"""---""",false,single,true,sq,false,180,1,20000
"""micro.Ring.trip:cpu-migrations-rate""","""thrpt""",1,1,0.006,NaN,"""---""",false,single,true,sq,false,180,1,20000
"""micro.Ring.trip:real-time""","""thrpt""",1,1,63.206428191499995,NaN,"""---""",false,single,true,sq,false,180,1,20000
